Area_unit_2013_code,Area_unit_2013_label,Victimisations_calendar_year_2015,Population_mid_point_2015,Rate_per_10000_population,Rate_ratio_NZ_average_rate,Urban_area_2013_code,Urban_area_2013_label,Urban_area_type,Territorial_authority_area_2013_code,Territorial_authority_area_2013_label,Region_2013_code,Region_2013_label
528403,Te Rapa,36,360,1000,19.1,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
517400,Newmarket,36,3740,96,1.8,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
520801,Waiheke Island,36,8880,41,0.8,214,Waiheke Island,Minor ,76,Auckland,2,Auckland 
590900,Riccarton South,35,610,574,11.0,22,Christchurch,Main ,60,Christchurch City,13,Canterbury 
604410,South Dunedin,35,2530,138,2.6,23,Dunedin,Main ,71,Dunedin City,14,Otago 
517901,Springleigh,35,3050,115,2.2,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
541000,Turangi,35,3220,109,2.1,237,Turangi,Minor ,21,Taupo District,3,Waikato 
548831,Te Mata,35,3790,92,1.8,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
504600,Dargaville,35,4830,72,1.4,209,Dargaville,Minor ,3,Kaipara District,1,Northland 
568302,Naenae North,35,4850,72,1.4,18,Lower Hutt Zone,Main ,46,Lower Hutt City,9,Wellington 
524520,Harania West,35,5370,65,1.2,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
522302,Papatoetoe East,35,6050,58,1.1,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
608800,Wanaka,35,7400,47,0.9,293,Wanaka,Minor ,70,Queenstown-Lakes District,14,Otago 
583202,Broads,34,1590,214,4.1,21,Nelson,Main ,52,Nelson City,17,Nelson 
544702,Outer Kaiti,34,2490,137,2.6,11,Gisborne,Main ,28,Gisborne District,5,Gisborne 
542430,Trident,34,3350,101,1.9,104,Whakatane,Secondary ,25,Whakatane District,4,Bay of Plenty 
523601,Otara South,34,3830,89,1.7,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
584301,Motueka West,34,3890,87,1.7,273,Motueka,Minor ,51,Tasman District,16,Tasman 
554020,Hawera South,34,4050,84,1.6,105,Hawera,Secondary ,35,South Taranaki District,7,Taranaki 
514000,Freemans Bay,34,4280,79,1.5,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
530400,Bader,34,4420,77,1.5,6,Hamilton Zone,Main ,16,Hamilton City,3,Waikato 
541730,Tauhara,34,4430,77,1.5,103,Taupo,Secondary ,21,Taupo District,3,Waikato 
523602,Ferguson,34,4820,71,1.3,5,Southern Auckland Zone,Main ,76,Auckland,2,Auckland 
518500,Three Kings,34,6100,56,1.1,4,Central Auckland Zone,Main ,76,Auckland,2,Auckland 
562401,Palmerston North Hospital,33,2760,120,2.3,16,Palmerston North,Main ,40,Palmerston North City,8,Manawatu-Wanganui 
547700,St Leonards,33,3030,109,2.1,13,Hastings Zone,Main ,30,Hastings District,6,Hawke's Bay 
576901,Kilbirnie East,33,3230,102,2.0,20,Wellington Zone,Main ,47,Wellington City,9,Wellington 
